Iterator T GF Best_GF
756 9.27709 28783 28783
757 9.27709 28783 28783
758 9.27709 28783 28783
759 9.27709 28783 28783
760 9.27709 28783 28783
761 9.26781 28783 28783
762 9.26781 28783 28783
763 9.26781 28783 28783
764 9.26781 28783 28783
765 9.26781 28783 28783
766 9.26781 28783 28783
767 9.26781 28783 28783
768 9.26781 28783 28783
769 9.26781 28783 28783
770 9.26781 28783 28783
771 9.25854 28783 28783
772 9.25854 28783 28783
773 9.25854 28783 28783
774 9.25854 28783 28783
775 9.25854 28783 28783
776 9.25854 28783 28783
777 9.25854 28783 28783
778 9.25854 28783 28783
779 9.25854 28783 28783
780 9.25854 28783 28783
781 9.24928 28783 28783
782 9.24928 28783 28783
783 9.24928 28783 28783
784 9.24928 28783 28783
785 9.24928 28783 28783
786 9.24928 28783 28783
787 9.24928 28783 28783
788 9.24928 28783 28783
789 9.24928 28783 28783
790 9.24928 28783 28783
791 9.24003 28783 28783
792 9.24003 28783 28783
793 9.24003 28783 28783
794 9.24003 28783 28783
795 9.24003 28783 28783
796 9.24003 28783 28783
797 9.24003 28783 28783
798 9.24003 28783 28783
799 9.24003 28783 28783
800 9.24003 28783 28783
801 9.23079 28783 28783
802 9.23079 28783 28783
803 9.23079 28783 28783
804 9.23079 28783 28783
805 9.23079 28783 28783
806 9.23079 28783 28783
807 9.23079 28783 28783
808 9.23079 28783 28783
809 9.23079 28783 28783
810 9.23079 28783 28783
811 9.22156 28783 28783
812 9.22156 28783 28783
813 9.22156 28783 28783
814 9.22156 28783 28783
815 9.22156 28783 28783
816 9.22156 28783 28783
817 9.22156 28783 28783
818 9.22156 28783 28783
819 9.22156 28783 28783
820 9.22156 28783 28783
821 9.21234 28783 28783
822 9.21234 28783 28783
823 9.21234 28783 28783
824 9.21234 28783 28783
825 9.21234 28783 28783
826 9.21234 28783 28783
827 9.21234 28783 28783
828 9.21234 28783 28783
829 9.21234 28783 28783
830 9.21234 28783 28783
831 9.20313 28783 28783
832 9.20313 28783 28783
833 9.20313 28783 28783
834 9.20313 28783 28783
835 9.20313 28783 28783
836 9.20313 28783 28783
837 9.20313 28783 28783
838 9.20313 28783 28783
839 9.20313 28783 28783
840 9.20313 28783 28783
841 9.19393 28783 28783
842 9.19393 28783 28783
843 9.19393 28783 28783
844 9.19393 28783 28783
845 9.19393 28783 28783
846 9.19393 28783 28783
847 9.19393 28783 28783
848 9.19393 28783 28783
849 9.19393 28783 28783
850 9.19393 28783 28783
851 9.18473 28783 28783
852 9.18473 28783 28783
853 9.18473 28783 28783
854 9.18473 28783 28783
855 9.18473 28783 28783
856 9.18473 28783 28783
857 9.18473 28783 28783
858 9.18473 28783 28783
859 9.18473 28783 28783
860 9.18473 28783 28783
861 9.17555 28783 28783
862 9.17555 28783 28783
863 9.17555 28783 28783
864 9.17555 28783 28783
865 9.17555 28783 28783
866 9.17555 28783 28783
867 9.17555 28783 28783
868 9.17555 28783 28783
869 9.17555 28783 28783
870 9.17555 28783 28783
871 9.16637 28783 28783
872 9.16637 28783 28783
873 9.16637 28783 28783
874 9.16637 28783 28783
875 9.16637 28783 28783
876 9.16637 28783 28783
877 9.16637 28783 28783
878 9.16637 28783 28783
879 9.16637 28783 28783
880 9.16637 28783 28783
881 9.15721 28783 28783
882 9.15721 28783 28783
883 9.15721 28783 28783
884 9.15721 28783 28783
885 9.15721 28783 28783
886 9.15721 28783 28783
887 9.15721 28783 28783
888 9.15721 28783 28783
889 9.15721 28783 28783
890 9.15721 28783 28783
891 9.14805 28783 28783
892 9.14805 28783 28783
893 9.14805 28783 28783
894 9.14805 28783 28783
895 9.14805 28783 28783
896 9.14805 28783 28783
897 9.14805 28783 28783
898 9.14805 28783 28783
899 9.14805 28783 28783
900 9.14805 28783 28783
901 9.1389 28783 28783
902 9.1389 28783 28783
903 9.1389 28783 28783
904 9.1389 28783 28783
905 9.1389 28783 28783
906 9.1389 28783 28783
907 9.1389 28783 28783
908 9.1389 28783 28783
909 9.1389 28783 28783
910 9.1389 28783 28783
911 9.12976 28783 28783
912 9.12976 28783 28783
913 9.12976 28783 28783
914 9.12976 28783 28783
915 9.12976 28783 28783
916 9.12976 28783 28783
917 9.12976 28783 28783
918 9.12976 28783 28783
919 9.12976 28783 28783
920 9.12976 28783 28783
921 9.12063 28783 28783
922 9.12063 28783 28783
923 9.12063 28783 28783
924 9.12063 28783 28783
925 9.12063 28783 28783
926 9.12063 28783 28783
927 9.12063 28783 28783
928 9.12063 28783 28783
929 9.12063 28783 28783
930 9.12063 28783 28783
931 9.11151 28783 28783
932 9.11151 28783 28783
933 9.11151 28783 28783
934 9.11151 28783 28783
935 9.11151 28783 28783
936 9.11151 28783 28783
937 9.11151 28783 28783
938 9.11151 28783 28783
939 9.11151 28783 28783
940 9.11151 28783 28783
941 9.1024 28783 28783
942 9.1024 28783 28783
943 9.1024 28783 28783
944 9.1024 28783 28783
945 9.1024 28783 28783
946 9.1024 28783 28783
947 9.1024 28783 28783
948 9.1024 28783 28783
949 9.1024 28783 28783
950 9.1024 28783 28783
951 9.0933 28783 28783
952 9.0933 28783 28783
953 9.0933 28783 28783
954 9.0933 28783 28783
955 9.0933 28783 28783
956 9.0933 28783 28783
957 9.0933 28783 28783
958 9.0933 28783 28783
959 9.0933 28783 28783
960 9.0933 28783 28783
961 9.0842 28783 28783
962 9.0842 28783 28783
963 9.0842 28783 28783
964 9.0842 28783 28783
965 9.0842 28783 28783
966 9.0842 28783 28783
967 9.0842 28783 28783
968 9.0842 28783 28783
969 9.0842 28783 28783
970 9.0842 28783 28783
971 9.07512 28705 28705
972 9.07512 24765 24765
973 9.07512 24765 24765
974 9.07512 24765 24765
975 9.07512 24765 24765
976 9.07512 24765 24765
977 9.07512 24765 24765
978 9.07512 24765 24765
979 9.07512 24765 24765
980 9.07512 24765 24765
981 9.06604 24765 24765
982 9.06604 24765 24765
983 9.06604 24765 24765
984 9.06604 24765 24765
985 9.06604 24765 24765
986 9.06604 24765 24765
987 9.06604 24765 24765
988 9.06604 24765 24765
989 9.06604 24765 24765
990 9.06604 24765 24765
991 9.05698 24765 24765
992 9.05698 24765 24765
993 9.05698 24765 24765
994 9.05698 24765 24765
995 9.05698 24765 24765
996 9.05698 24765 24765
997 9.05698 24765 24765
998 9.05698 24765 24765
999 9.05698 24765 24765
